id;desc_ar;desc_en;code;img_path;is_right_answer;status
1;clear-thinking;Latvia;Ports Manager Fish;Networked;false;17882
2;world-class program alarm;Nevada;Berkshire;dedicated Persevering;true;97889
3;Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;false;57200
4;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures;true;57229
5;Facilitator Incredible functionalities;compressing;Bedfordshire;Maryland Configuration;true;93001
6;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;true;25620
7;Personal Loan Account Sleek Beauty;digital deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;false;32815
8;Towels Specialist;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;compress lavender Investment Account;false;84202
9;sky blue;Peru deposit;Frozen Analyst card;redundant;false;43352
10;bypass Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;true;18286
