id;exam_code;exam_result;exam_date;exam_grade;is_eligibile;exported
1;695;16465;2019-12-16T22:19:10;53408;41741;false
2;22210;69243;2019-12-17T07:42:02;26941;33761;false
3;94290;16829;2019-12-17T02:49:14;21876;51879;true
4;70301;40383;2019-12-17T01:51:01;6489;97178;false
5;96244;24687;2019-12-17T04:32:05;69630;49724;true
6;30087;14808;2019-12-17T03:44:28;99774;3688;false
7;60956;97661;2019-12-16T22:30:47;41103;5147;false
8;27864;34507;2019-12-16T12:46:45;63435;23956;true
9;14489;53093;2019-12-16T22:49:50;44778;98565;true
10;24205;59269;2019-12-16T18:26:46;8085;76161;false
