id;validfrom;validto;time_in_sec;score;status;pass_score;start_at;submit_at
1;2019-12-16T18:08:01;2019-12-17T02:20:11;35091;70583;11706;96865;2019-12-17T12:00:23;2019-12-16T22:55:33
2;2019-12-16T21:09:44;2019-12-16T19:21:05;61821;86686;10112;83848;2019-12-17T13:25:11;2019-12-17T05:12:44
3;2019-12-16T22:36:55;2019-12-17T10:05:47;7276;39665;82186;89189;2019-12-16T22:29:19;2019-12-17T11:55:11
4;2019-12-17T13:29:09;2019-12-17T03:07:07;8483;23322;98663;58130;2019-12-17T06:27:21;2019-12-16T18:43:23
5;2019-12-17T06:32:35;2019-12-16T18:18:36;81279;23668;94724;90769;2019-12-16T15:46:28;2019-12-17T01:13:59
6;2019-12-16T21:21:27;2019-12-17T07:01:59;37625;70818;8350;48166;2019-12-16T20:47:13;2019-12-17T06:22:00
7;2019-12-17T02:02:12;2019-12-16T22:30:59;42422;24872;90635;33025;2019-12-17T12:46:10;2019-12-17T05:00:42
8;2019-12-17T03:36:55;2019-12-17T09:21:00;1135;40520;46866;57147;2019-12-17T14:05:13;2019-12-16T21:39:18
9;2019-12-17T12:35:12;2019-12-16T21:01:33;11752;82279;64921;74421;2019-12-16T21:32:00;2019-12-16T23:05:37
10;2019-12-17T01:26:15;2019-12-17T09:44:17;96217;40022;37487;47771;2019-12-17T08:34:53;2019-12-17T13:26:56
