id;desc_ar;desc_en;code;img_path;is_right_answer;status;answer_id
1;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;false;73740;37728
2;Toys;overriding;internet solution;Total;false;59359;47396
3;impactful withdrawal Club;Russian Federation Nevada;Michigan Connecticut empower;customized payment;true;24435;35609
4;Director Personal Loan Account;Music;Pants;Avon;true;18656;8788
5;digital;Internal;Sleek Steel Shirt;Strategist Fresh incubate;true;91739;86550
6;parsing;Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;false;18704;96799
7;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;false;93201;48114
8;Montenegro;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;false;25464;13882
9;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;false;92644;74112
10;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;false;87720;58830
