id;desc_ar;desc_en;code;img_path;time_in_sec;type;weight;score;status;seq;category_id;question_id;start_at;submit_at
1;Cyprus web services auxiliary;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;62939;21680;69574;29449;45454;99583;62755;69692;2019-12-17T01:24:54;2019-12-17T06:13:03
2;protocol Product Usability;Regional;Generic B2B;olive;46369;38826;35335;22939;58365;26593;7773;36034;2019-12-16T16:03:11;2019-12-17T09:11:58
3;Ridges Beauty dynamic;multi-byte Pound Sterling;Frozen;parsing;94979;41663;72571;58116;61341;91917;41824;8274;2019-12-16T17:03:11;2019-12-16T18:23:55
4;Aruba Chair portals;online Strategist Shirt;navigate redefine;generating bypassing Bypass;41481;13385;27340;1367;5637;7535;86472;69171;2019-12-16T19:55:44;2019-12-17T02:36:51
5;parse Customer Rhode Island;Accounts navigating Ergonomic;purple User-friendly;Savings Account;22864;87822;67170;75699;61812;4689;35816;26867;2019-12-17T12:42:47;2019-12-17T14:54:21
6;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;75513;78466;62030;63936;70407;80504;21296;90315;2019-12-17T12:09:55;2019-12-17T00:37:27
7;Director;New York mesh;Unbranded array;Berkshire solid state;39654;29795;62208;52360;86236;69764;94952;79647;2019-12-17T11:54:31;2019-12-17T04:24:51
8;indexing compress Practical Steel Chips;Berkshire concept;Illinois robust;Granite Rubber;15190;40030;13882;69766;64087;18006;18188;69650;2019-12-17T07:08:33;2019-12-17T05:33:31
9;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;Awesome;12063;53442;46077;35599;20633;89421;36426;12874;2019-12-17T03:21:23;2019-12-17T07:30:58
10;alliance Licensed Plaza;Sleek GB Regional;Home;primary quantify Chips;20934;53659;37047;92404;48452;23611;61825;75995;2019-12-17T06:35:04;2019-12-17T02:41:17
