id;desc_ar;desc_en;code;img_path;time_in_sec;type;weight;status
1;Lempira;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;49379;4043;52273;71066
2;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;75555;20306;22879;94285
3;Money Market Account;Salad Web virtual;Refined Squares;maroon;89255;88328;53934;32434
4;Fresh granular Direct;Profit-focused;Jewelery cutting-edge;Games;51074;53408;41741;48482
5;Bahamian Dollar;24/7;Gloves sky blue Oklahoma;robust Engineer;96244;24687;25178;69630
6;card Plastic;Computers Personal Loan Account Berkshire;Home;Investor Public-key;14489;53093;48945;44778
7;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;Point Orchestrator;Solomon Islands Licensed;83530;15071;32078;50819
8;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;69093;39757;38673;51775
9;hacking Forint bandwidth;Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;9310;96541;89721;55829
10;THX pink even-keeled;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;10147;94013;66350;97366
