id;name_ar;name_en;code;no_of_questions;seq
1;Pakistan;parse;neural Wooden Optimization;97424;5755
2;Austria mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;8410;42609
3;Centralized revolutionize International;Sleek;Visionary;58130;37427
4;transition open-source Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;42422;24872
5;array supply-chains Advanced;Parkway Handmade Wooden Cheese;quantifying;74421;74604
6;Idaho Markets grow;Refined;Mandatory Assistant;1215;97790
7;Arizona success Sleek Frozen Chips;Gorgeous Rubber Chicken Associate Central African Republic;magenta heuristic;99583;62755
8;Maryland Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;46369;38826
9;Persevering analyzing;Engineer Architect;Beauty dynamic schemas;60278;68473
10;Keyboard;Licensed Usability models;Personal Loan Account markets;93272;87666
